DATE,SP500,Apple
2016-07-31,0.0356,0.0901
2016-08-31,-0.0012,0.0236
2016-09-30,-0.0012,0.0655
2016-10-31,-0.0194,0.0043
2016-11-30,0.0342,-0.0216
2016-12-31,0.0182,0.0480
2017-01-31,0.0179,0.0477
2017-02-28,0.0372,0.1336
2017-03-31,-0.0004,0.0487
2017-04-30,0.0091,-0.0001
2017-05-31,0.0116,0.0678
2017-06-30,0.0048,-0.0572
2017-07-31,0.0193,0.0327
2017-08-31,0.0005,0.1069
2017-09-30,0.0193,-0.0602
2017-10-31,0.0222,0.0968
2017-11-30,0.0281,0.0204
2017-12-31,0.0098,-0.0152
2018-01-31,0.0562,-0.0106
2018-02-28,-0.0389,0.0676
2018-03-31,-0.0269,-0.0581
2018-04-30,0.0027,-0.0150
2018-05-31,0.0216,0.1352
2018-06-30,0.0048,-0.0094
2018-07-31,0.0360,0.0280
2018-08-31,0.0303,0.2001
2018-09-30,0.0043,-0.0083
2018-10-31,-0.0694,-0.0305
2018-11-30,0.0179,-0.1807
2018-12-31,-0.0918,-0.1167
2019-01-31,0.0787,0.0552
2019-02-28,0.0297,0.0447
2019-03-31,0.0179,0.0970
2019-04-30,0.0393,0.0564
2019-05-31,-0.0658,-0.1237
2019-06-30,0.0689,0.1305
2019-07-31,0.0131,0.0764
2019-08-31,-0.0181,-0.0166
2019-09-30,0.0172,0.0730
2019-10-31,0.0204,0.1107
2019-11-30,0.0340,0.0774
2019-12-31,0.0286,0.0988
2020-01-31,-0.0016,0.0540
2020-02-29,-0.0841,-0.1143
2020-03-31,-0.1251,-0.0698
2020-04-30,0.1268,0.1554
2020-05-31,0.0453,0.0850
2020-06-30,0.0184,0.1474
2020-07-31,0.0551,0.1651
2020-08-31,0.0701,0.2163
3
0.2163
3
